"DATE","DATE_NAME","DATE_CODE","DATE_TYPE","DATE_TYPECODE","DATE_SORTORDER","GEOGRAPHY","GEOGRAPHY_NAME","GEOGRAPHY_CODE","GEOGRAPHY_TYPE","GEOGRAPHY_TYPECODE","GEOGRAPHY_SORTORDER","RURAL_URBAN","RURAL_URBAN_NAME","RURAL_URBAN_CODE","RURAL_URBAN_TYPE","RURAL_URBAN_TYPECODE","RURAL_URBAN_SORTORDER","CELL","CELL_NAME","CELL_CODE","CELL_TYPE","CELL_TYPECODE","CELL_SORTORDER","MEASURES","MEASURES_NAME","OBS_VALUE","OBS_STATUS","OBS_STATUS_NAME","OBS_CONF","OBS_CONF_NAME","URN","RECORD_OFFSET","RECORD_COUNT"
"2011","2011","2011","date",0,0,"1946157057","Darlington","E06000005","local authorities: district / unitary (prior to April 2015)",464,0,"0","Total","0","2011 rural-urban classification",2000,0,"0","All categories: Car or van availability","KS404EW0001","Cars",10000,0,"20100","Value",46670,"A","Normal Value","F","Free (free for publication)","Nm-621d1d32176e0d1946157057d0d0d20100",0,696
"2011","2011","2011","date",0,0,"1946157057","Darlington","E06000005","local authorities: district / unitary (prior to April 2015)",464,0,"0","Total","0","2011 rural-urban classification",2000,0,"1","No cars or vans in household","KS404EW0002","Cars",10000,1,"20100","Value",13052,"A","Normal Value","F","Free (free for publication)","Nm-621d1d32176e0d1946157057d0d1d20100",1,696
"2011","2011","2011","date",0,0,"1946157058","County Durham","E06000047","local authorities: district / unitary (prior to April 2015)",464,1,"0","Total","0","2011 rural-urban classification",2000,0,"0","All categories: Car or van availability","KS404EW0001","Cars",10000,0,"20100","Value",223803,"A","Normal Value","F","Free (free for publication)","Nm-621d1d32176e0d1946157058d0d0d20100",2,696
"2011","2011","2011","date",0,0,"1946157058","County Durham","E06000047","local authorities: district / unitary (prior to April 2015)",464,1,"0","Total","0","2011 rural-urban classification",2000,0,"1","No cars or vans in household","KS404EW0002","Cars",10000,1,"20100","Value",60926,"A","Normal Value","F","Free (free for publication)","Nm-621d1d32176e0d1946157058d0d1d20100",3,696
"2011","2011","2011","date",0,0,"1946157059","Hartlepool","E06000001","local authorities: district / unitary (prior to April 2015)",464,2,"0","Total","0","2011 rural-urban classification",2000,0,"0","All categories: Car or van availability","KS404EW0001","Cars",10000,0,"20100","Value",40434,"A","Normal Value","F","Free (free for publication)","Nm-621d1d32176e0d1946157059d0d0d20100",4,696
"2011","2011","2011","date",0,0,"1946157059","Hartlepool","E06000001","local authorities: district / unitary (prior to April 2015)",464,2,"0","Total","0","2011 rural-urban classification",2000,0,"1","No cars or vans in household","KS404EW0002","Cars",10000,1,"20100","Value",14268,"A","Normal Value","F","Free (free for publication)","Nm-621d1d32176e0d1946157059d0d1d20100",5,696
"2011","2011","2011","date",0,0,"1946157060","Middlesbrough","E06000002","local authorities: district / unitary (prior to April 2015)",464,3,"0","Total","0","2011 rural-urban classification",2000,0,"0","All categories: Car or van availability","KS404EW0001","Cars",10000,0,"20100","Value",57203,"A","Normal Value","F","Free (free for publication)","Nm-621d1d32176e0d1946157060d0d0d20100",6,696
"2011","2011","2011","date",0,0,"1946157060","Middlesbrough","E06000002","local authorities: district / unitary (prior to April 2015)",464,3,"0","Total","0","2011 rural-urban classification",2000,0,"1","No cars or vans in household","KS404EW0002","Cars",10000,1,"20100","Value",21488,"A","Normal Value","F","Free (free for publication)","Nm-621d1d32176e0d1946157060d0d1d20100",7,696
"2011","2011","2011","date",0,0,"1946157061","Northumberland","E06000057","local authorities: district / unitary (prior to April 2015)",464,4,"0","Total","0","2011 rural-urban classification",2000,0,"0","All categories: Car or van availability","KS404EW0001","Cars",10000,0,"20100","Value",138534,"A","Normal Value","F","Free (free for publication)","Nm-621d1d32176e0d1946157061d0d0d20100",8,696
"2011","2011","2011","date",0,0,"1946157061","Northumberland","E06000057","local authorities: district / unitary (prior to April 2015)",464,4,"0","Total","0","2011 rural-urban classification",2000,0,"1","No cars or vans in household","KS404EW0002","Cars",10000,1,"20100","Value",30543,"A","Normal Value","F","Free (free for publication)","Nm-621d1d32176e0d1946157061d0d1d20100",9,696
